STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",25.7881,-80.3169,8.8,1/1/2010,3,1515,1505,3.3,,,,27.2,13.9,290,280,10.7,17.4
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",25.7881,-80.3169,8.8,1/2/2010,3.8,533,523,0,,,,18.3,9.4,340,320,7.2,10.7
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",25.7881,-80.3169,8.8,1/3/2010,3.1,1759,1840,0,,,,16.7,8.3,340,320,6.3,9.8
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",25.7881,-80.3169,8.8,1/4/2010,3.5,2112,1240,0,,,,16.1,6.7,300,310,6.3,8.9
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",25.7881,-80.3169,8.8,1/5/2010,2.9,2342,2243,0,,,,15.6,6.1,310,310,7.6,10.7
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",25.7881,-80.3169,8.8,1/6/2010,3.1,1217,1511,0,,,,14.4,4.4,340,340,6.7,9.8
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",25.7881,-80.3169,8.8,1/7/2010,1.5,647,646,0,,,,16.7,6.7,330,340,4,5.8
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",25.7881,-80.3169,8.8,1/8/2010,1.6,1442,1352,0,,,,23.3,9.4,210,200,6.7,9.8
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",25.7881,-80.3169,8.8,1/9/2010,4.5,725,708,11.2,,,,17.2,3.3,340,330,8.9,13.4
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",25.7881,-80.3169,8.8,1/10/2010,5,905,533,0,,,,8.9,1.7,330,310,8.9,13.4
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",25.7881,-80.3169,8.8,1/11/2010,3.4,1350,1401,0,,,,16.7,2.2,330,350,6.3,9.8
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",25.7881,-80.3169,8.8,1/12/2010,3,1116,1145,0,,,,17.2,6.1,330,300,6.7,9.4
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",25.7881,-80.3169,8.8,1/13/2010,3,1735,1749,0,,,,18.9,8.3,340,330,4.9,7.6
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",25.7881,-80.3169,8.8,1/14/2010,2.2,1425,1430,0,,,,23.9,12.2,90,80,6.3,7.6
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",25.7881,-80.3169,8.8,1/15/2010,4.3,1533,1240,0,,,,26.1,17.2,110,140,8.9,12.5
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",25.7881,-80.3169,8.8,1/16/2010,6.2,1315,1143,0,,,,27.2,21.7,110,120,11.2,15.6
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",25.7881,-80.3169,8.8,1/17/2010,4.7,1129,1128,7.1,,,,27.2,20,260,260,10.7,13.4
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",25.7881,-80.3169,8.8,1/18/2010,2.4,1354,1418,0,,,,25,17.2,290,310,5.8,7.6
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",25.7881,-80.3169,8.8,1/19/2010,1.5,1432,428,0,,,,21.1,13.9,250,330,3.6,5.4
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",25.7881,-80.3169,8.8,1/20/2010,1.7,1710,1709,0,,,,26.7,13.3,130,130,5.4,7.6
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",25.7881,-80.3169,8.8,1/21/2010,4.7,1236,1319,0,,,,28.3,21.7,170,170,9.8,13.9
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",25.7881,-80.3169,8.8,1/22/2010,4.5,1335,1332,0,,,,30,23.3,250,250,10.7,14.3
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",25.7881,-80.3169,8.8,1/23/2010,3.6,1654,2111,0,,,,28.3,22.2,90,120,8.9,10.7
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",25.7881,-80.3169,8.8,1/24/2010,6.2,1314,1311,0,,,,27.2,22.8,140,130,10.7,16.1
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",25.7881,-80.3169,8.8,1/25/2010,5.4,1108,1007,0.8,,,,28.3,15.6,180,180,10.7,15.6
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",25.7881,-80.3169,8.8,1/26/2010,2.6,1048,1259,0,,,,22.8,12.8,360,20,5.8,8
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",25.7881,-80.3169,8.8,1/27/2010,2.7,1620,1358,0,,,,23.3,12.8,80,70,6.3,9.4
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",25.7881,-80.3169,8.8,1/28/2010,2.9,1256,913,0,,,,25,15,90,80,6.7,11.2
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",25.7881,-80.3169,8.8,1/29/2010,3.9,1209,1514,0,,,,26.1,18.9,90,110,7.6,9.8
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",25.7881,-80.3169,8.8,1/30/2010,4.1,1121,1042,0,,,,28.3,21.7,160,140,8,12.5
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",25.7881,-80.3169,8.8,1/31/2010,3.4,2345,2345,0.3,,,,23.3,20,60,70,6.7,8
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",25.7881,-80.3169,8.8,2/1/2010,4,31,1348,73.7,,,,23.9,20,100,50,7.2,9.4
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",25.7881,-80.3169,8.8,2/2/2010,2.2,1614,1613,7.1,,,,28.3,21.1,200,190,7.2,9.8
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",25.7881,-80.3169,8.8,2/3/2010,3.4,1527,1458,0,,,,25.6,18.3,70,70,6.7,8.9
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",25.7881,-80.3169,8.8,2/4/2010,4.4,1042,2245,0,,,,25.6,17.8,100,100,8,10.7
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",25.7881,-80.3169,8.8,2/5/2010,5.6,1312,1143,2,,,,28.3,22.2,160,170,8.9,13.4
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",25.7881,-80.3169,8.8,2/6/2010,5,1417,1517,0,,,,26.1,15,260,280,11.2,14.3
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",25.7881,-80.3169,8.8,2/7/2010,3,1257,1202,0,,,,18.9,13.3,300,310,7.2,10.3
